NORAD_CAT_ID,SATNAME,PER_ALT,APO_ALT,LAT,LON,TLE_LINE1,TLE_LINE2,SATNAME_CLEAN,SAT_GROUP,Inc
13155,COSMOS 1352 DEB,203.8,217.2,,,1 13155U 82035  C 82164.72679075  .08915748 +53989-5 +35376-2 0  9994,2 13155 070.3565 243.0331 0010149 268.3709 091.6764 16.23350055008404,COSMOS 1352 DEB,COSMOS,70.4
13157,COSMOS 1352 DEB,324.1,374.1,,,1 13157U 82035  E 82147.51659036  .00254111 +00000-0 +17484-2 0  9992,2 13157 070.3766 291.7915 0037102 168.9235 191.3022 15.73433738005679,COSMOS 1352 DEB,COSMOS,70.4
13158,COSMOS 1352 DEB,228.8,233.6,,,1 13158U 82035  F 82180.65326654  .02615392 +30560-5 +18766-2 0  9999,2 13158 070.3610 197.8056 0003594 218.1722 141.9219 16.15727956010936,COSMOS 1352 DEB,COSMOS,70.4
13180,COSMOS 1260 DEB,258.8,322.7,,,1 13180U 81028  C 82246.83131885  .04017764 +33042-5 +95796-2 0  9995,2 13180 065.1106 307.2670 0047865 270.4721 089.7399 15.94128237017805,COSMOS 1260 DEB,COSMOS,65.1
13181,COSMOS 1260 DEB,190.7,221.3,,,1 13181U 81028  D 82254.39169872  .12863326 +31493-4 +41357-2 0  9996,2 13181 064.9956 278.7130 0023253 264.9695 118.9118 16.25015387019141,COSMOS 1260 DEB,COSMOS,65.0
13182,COSMOS 1260 DEB,185.9,206.7,-32.73690242,159.7648662,1 13182U 81028  E 93322.75628617 -.00008447 +58510-4 +00000-0 0  9992,2 13182 051.6521 274.8713 0015815 095.6636 264.6142 16.28614990000049,COSMOS 1260 DEB,COSMOS,51.7
13183,COSMOS 1260 DEB,236.4,254.7,,,1 13183U 81028  F 91217.46072506  .11149555 +51000-5 +11192-1 0  9992,2 13183 064.9826 184.0895 0013821 234.6562 124.9453 16.10478106478136,COSMOS 1260 DEB,COSMOS,65.0
13184,COSMOS 1260 DEB,255.5,266.5,,,1 13184U 81028  G 83219.89205299  .02143796 +37284-5 +31048-2 0  9992,2 13184 064.9738 293.5264 0008280 281.4188 078.6315 16.04860825069440,COSMOS 1260 DEB,COSMOS,65.0
13185,COSMOS 1260 DEB,224.4,266.9,,,1 13185U 81028  H 82308.89343114  .15171219 +64181-5 +14283-1 0  9992,2 13185 065.0052 121.3195 0032079 268.4081 090.6173 16.10447329027192,COSMOS 1260 DEB,COSMOS,65.0
13186,COSMOS 1260 DEB,444,702.1,,,1 13186U 81028  J 82171.19615813  .00094226 +00000-0 +55514-2 0  9996,2 13186 064.9182 202.6109 0185670 312.3933 046.2253 14.98017073006347,COSMOS 1260 DEB,COSMOS,64.9
13187,COSMOS 1260 DEB,279.2,297.6,,,1 13187U 81028  K 83283.05395867  .05971394 +00000-0 +15116-1 0  9999,2 13187 064.9769 303.7524 0013811 227.1858 132.7932 15.94967064070964,COSMOS 1260 DEB,COSMOS,65.0
13188,COSMOS 1260 DEB,387.3,787,,,1 13188U 81028  L 82151.23860703  .00962089 +00000-0 +39798-1 0  9997,2 13188 065.0372 267.3259 0286909 334.0235 027.7003 14.93461125065864,COSMOS 1260 DEB,COSMOS,65.0
13189,COSMOS 1260 DEB,"1,468.20","1,717.50",36.49834136,-170.8589375,1 13189U 81028  M 91043.25634372 -.00000006 +00000-0 +00000-0 0  9997,2 13189 074.0499 190.7075 0156350 268.5406 081.5057 12.19929329000011,COSMOS 1260 DEB,COSMOS,74.0
13190,COSMOS 1260 DEB,382.5,542.3,,,1 13190U 81028  N 82282.36619374  .00444248 +00000-0 +10551-1 0  9993,2 13190 065.0364 211.1799 0116778 260.7202 097.6237 15.34504983001365,COSMOS 1260 DEB,COSMOS,65.0
13191,COSMOS 1260 DEB,342.5,377.3,,,1 13191U 81028  P 83220.56488323  .00406877 +00000-0 +33452-2 0  9999,2 13191 064.9947 316.6988 0025870 188.3564 170.5908 15.69646010131748,COSMOS 1260 DEB,COSMOS,65.0
